businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,广州博冠信息科技有限公司,22790,网易游戏,2000人以上,2018-11-22 17:55:10,天河区,本科,上市公司,游戏,高级开发工程师-质量保障中心,15k-20k
,广州酷码教育咨询有限公司,319988,广州酷码教育咨询有限公司,150-500人,2018-11-22 17:17:26,天河区,本科,A轮,教育,技术总监/CTO,20k-30k
"['东圃', '棠下', '车陂']",广东灵机文化传播有限公司,1175,灵机文化,150-500人,2018-11-22 11:42:36,天河区,本科,不需要融资,"移动互联网,电子商务",算法工程师,15k-20k
['龙凤'],北京易思易度科技有限公司广州分公司,314386,Edison Inc,50-150人,2018-11-22 11:26:25,海珠区,本科,B轮,"移动互联网,数据服务",后端研发工程师,15k-25k
"['员村', '东圃', '棠下']",广州图普网络科技有限公司,34420,图普科技（深度学习图像识别云）,50-150人,2018-11-22 10:20:35,天河区,本科,A轮,"移动互联网,数据服务",AI平台开发工程师,12k-24k
"['珠江新城', '沙河']",广州富力地产股份有限公司,111643,富力地产,2000人以上,2018-11-21 14:42:41,天河区,本科,上市公司,"移动互联网,电子商务",硬件开发工程师,12k-20k
,广州秒钛科技有限公司,210023,秒钛科技,15-50人,2018-11-04 11:03:09,越秀区,本科,A轮,"金融,数据服务",数据工程师 (金融工程),25k-45k
,星汉（广州）科技有限公司,296449,星汉科技,150-500人,2018-11-22 18:15:47,海珠区,本科,B轮,"移动互联网,游戏",后台开发工程师,15k-30k
['天河软件园'],上海鲸团科技有限公司,189292,鲸鱼游戏,150-500人,2018-11-22 15:40:07,天河区,大专,不需要融资,游戏,PHP高级开发工程师（后台系统）,12k-20k
"['琶洲', '官洲']",广州君海网络科技有限公司,33956,君海游戏,150-500人,2018-11-22 19:14:44,海珠区,本科,上市公司,移动互联网,BI开发工程师,10k-20k
"['东圃', '棠下', '车陂']",广府数字（深圳）股份有限公司,463109,广府数字,15-50人,2018-11-22 17:47:35,天河区,大专,未融资,区块链 电子商务,技术经理,15k-30k
['琶洲'],广州多多村信息科技有限公司,433979,多多村,少于15人,2018-11-22 11:40:10,海珠区,本科,天使轮,"数据服务,文化娱乐",后端研发工程师,16k-22k
"['五山', '天河公园', '石牌']",北京修齐治平科技有限公司,28393,爱云校,500-2000人,2018-11-22 10:40:00,天河区,硕士,C轮,"教育,数据服务",图像处理研发工程师,15k-20k
,广州飞跑科技有限公司,293535,飞跑科技,50-150人,2018-11-22 08:51:14,海珠区,大专,不需要融资,游戏,脚本开发工程师,8k-15k
,广州博冠信息科技有限公司,22790,网易游戏,2000人以上,2018-11-22 10:41:23,天河区,本科,上市公司,游戏,客户端开发工程师,15k-30k
"['员村', '东圃', '棠下']",广州图普网络科技有限公司,34420,图普科技（深度学习图像识别云）,50-150人,2018-11-22 10:20:37,天河区,本科,A轮,"移动互联网,数据服务",后端服务器开发工程师(AI方向),12k-24k
['琶洲'],星汉（广州）科技有限公司,296449,星汉科技,150-500人,2018-11-22 18:15:46,海珠区,本科,B轮,"移动互联网,游戏",服务端开发工程师,15k-30k
"['员村', '东圃', '棠下']",广州原力互娱网络科技有限公司,126248,原力互娱,500-2000人,2018-11-08 14:08:26,天河区,本科,上市公司,移动互联网,C++后端开发工程师,10k-20k
,清远墨墨教育科技有限公司,120354,墨墨科技,少于15人,2018-11-13 16:07:23,天河区,本科,未融资,移动互联网,墨墨后端开发工程师 / 热爱技术，喜欢折腾,15k-30k
,广州华多网络科技有限公司,49579,欢聚时代（YY Inc）,2000人以上,2018-11-21 15:09:28,番禺区,本科,上市公司,移动互联网,数据仓库开发工程师 (MJ001030),13k-25k
"['琶洲', '官洲']",广州君海网络科技有限公司,33956,君海游戏,150-500人,2018-11-22 19:14:45,海珠区,本科,上市公司,移动互联网,大数据开发工程师,10k-20k
['石牌'],众聚互娱（广州）科技有限公司,266540,众聚互娱,50-150人,2018-11-12 14:38:06,天河区,本科,A轮,"硬件,游戏",技术经理（C++方向）,30k-50k
"['员村', '珠江新城', '石牌']",广东星舆科技有限公司,321881,星舆科技,50-150人,2018-11-19 15:23:29,天河区,硕士,A轮,"移动互联网,数据服务",ADAS研发工程师,13k-25k
,广州极飞科技有限公司,20999,XAG极飞科技,500-2000人,2018-11-22 09:10:18,天河区,大专,B轮,移动互联网,ERP开发工程师,6k-10k
,江苏润和软件股份有限公司,68635,润和软件,2000人以上,2018-11-19 14:12:37,黄埔区,本科,上市公司,移动互联网,web前端,8k-16k
"['五山', '石牌', '天河北']",蓝月亮（中国）有限公司,24265,蓝月亮,2000人以上,2018-11-22 09:17:09,天河区,本科,不需要融资,生活服务,算法工程师,13k-18k
['石楼'],广东海启星海洋科技有限公司,188933,广东海启星海洋科技有限公司,50-150人,2018-11-22 09:07:49,番禺区,大专,不需要融资,"数据服务,企业服务",服务器研发工程师,9k-15k
['员村'],上海鲸团科技有限公司,189292,鲸鱼游戏,150-500人,2018-11-22 16:20:59,天河区,本科,不需要融资,游戏,android开发工程师(SDK开发）,8k-15k
"['瑞宝', '东晓', '凤阳']",广州致景信息科技有限公司,9085,百布,150-500人,2018-11-22 15:22:49,海珠区,大专,C轮,移动互联网,大数据工程师,13k-26k
"['珠江新城', '冼村', '沙河']",广州博冠信息科技有限公司,22790,网易游戏,2000人以上,2018-11-19 09:59:42,天河区,本科,上市公司,游戏,服务端开发工程师（A）,18k-36k
"['员村', '东圃', '棠下']",广州图普网络科技有限公司,34420,图普科技（深度学习图像识别云）,50-150人,2018-11-22 10:20:37,天河区,本科,A轮,"移动互联网,数据服务",Docker开发工程师,15k-25k
,广州华多网络科技有限公司,49579,欢聚时代（YY Inc）,2000人以上,2018-11-21 15:00:20,番禺区,本科,上市公司,移动互联网,用户画像高级研发工程师 (MJ001283),20k-40k
['琶洲'],星汉（广州）科技有限公司,296449,星汉科技,150-500人,2018-11-22 18:15:46,海珠区,本科,B轮,"移动互联网,游戏",后台开发工程师,15k-30k
